Y Angle (deg),Tan Shift,Sag Shift,Real Height,Ref. Height,Distortion,Wavelength
0.00000000,0.02347699,0.02347699,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.00000000,0.02347699,0.02347699,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.34572860,0.02343241,0.02342829,0.18622531,0.18622581,-0.00026626,0.486133 µm.
0.34572860,0.02343241,0.02342829,0.18622531,0.18622581,-0.00026626,0.486133 µm.
0.69145721,0.02329259,0.02328225,0.37246084,0.37246518,-0.00116573,0.486133 µm.
0.69145721,0.02329259,0.02328225,0.37246084,0.37246518,-0.00116573,0.486133 µm.
1.03718581,0.02305775,0.02303897,0.55871679,0.55873168,-0.00266454,0.486133 µm.
1.03718581,0.02305775,0.02303897,0.55871679,0.55873168,-0.00266454,0.486133 µm.
1.38291441,0.02272833,0.02269866,0.74500340,0.74503888,-0.00476225,0.486133 µm.
1.38291441,0.02272833,0.02269866,0.74500340,0.74503888,-0.00476225,0.486133 µm.
1.72864302,0.02230492,0.02226158,0.93133090,0.93140037,-0.00745825,0.486133 µm.
1.72864302,0.02230492,0.02226158,0.93133090,0.93140037,-0.00745825,0.486133 µm.
2.07437162,0.02178827,0.02172810,1.11770956,1.11782974,-0.01075177,0.486133 µm.
2.07437162,0.02178827,0.02172810,1.11770956,1.11782974,-0.01075177,0.486133 µm.
2.42010022,0.02117931,0.02109863,1.30414965,1.30434063,-0.01464181,0.486133 µm.
2.42010022,0.02117931,0.02109863,1.30414965,1.30434063,-0.01464181,0.486133 µm.
2.76582882,0.02047915,0.02037370,1.49066150,1.49094667,-0.01912724,0.486133 µm.
2.76582882,0.02047915,0.02037370,1.49066150,1.49094667,-0.01912724,0.486133 µm.
3.11155743,0.01968906,0.01955389,1.67725544,1.67766154,-0.02420672,0.486133 µm.
3.11155743,0.01968906,0.01955389,1.67725544,1.67766154,-0.02420672,0.486133 µm.
3.45728603,0.01881049,0.01863988,1.86394186,1.86449895,-0.02987873,0.486133 µm.
3.45728603,0.01881049,0.01863988,1.86394186,1.86449895,-0.02987873,0.486133 µm.
3.80301463,0.01784505,0.01763242,2.05073119,2.05147262,-0.03614157,0.486133 µm.
3.80301463,0.01784505,0.01763242,2.05073119,2.05147262,-0.03614157,0.486133 µm.
4.14874324,0.01679455,0.01653235,2.23763390,2.23859635,-0.04299332,0.486133 µm.
4.14874324,0.01679455,0.01653235,2.23763390,2.23859635,-0.04299332,0.486133 µm.
4.49447184,0.01566093,0.01534060,2.42466054,2.42588396,-0.05043190,0.486133 µm.
4.49447184,0.01566093,0.01534060,2.42466054,2.42588396,-0.05043190,0.486133 µm.
4.84020044,0.01444635,0.01405817,2.61182168,2.61334931,-0.05845501,0.486133 µm.
4.84020044,0.01444635,0.01405817,2.61182168,2.61334931,-0.05845501,0.486133 µm.
5.18592905,0.01315312,0.01268616,2.79912799,2.80100635,-0.06706015,0.486133 µm.
5.18592905,0.01315312,0.01268616,2.79912799,2.80100635,-0.06706015,0.486133 µm.
5.53165765,0.01178373,0.01122575,2.98659019,2.98886904,-0.07624461,0.486133 µm.
5.53165765,0.01178373,0.01122575,2.98659019,2.98886904,-0.07624461,0.486133 µm.
5.87738625,0.01034085,0.00967821,3.17421907,3.17695143,-0.08600546,0.486133 µm.
5.87738625,0.01034085,0.00967821,3.17421907,3.17695143,-0.08600546,0.486133 µm.
6.22311486,0.00882734,0.00804491,3.36202554,3.36526762,-0.09633956,0.486133 µm.
6.22311486,0.00882734,0.00804491,3.36202554,3.36526762,-0.09633956,0.486133 µm.
6.56884346,0.00724622,0.00632730,3.55002054,3.55383180,-0.10724353,0.486133 µm.
6.56884346,0.00724622,0.00632730,3.55002054,3.55383180,-0.10724353,0.486133 µm.
6.91457206,0.00560069,0.00452694,3.73821515,3.74265820,-0.11871376,0.486133 µm.
6.91457206,0.00560069,0.00452694,3.73821515,3.74265820,-0.11871376,0.486133 µm.
7.26030066,0.00389415,0.00264548,3.92662053,3.93176117,-0.13074641,0.486133 µm.
7.26030066,0.00389415,0.00264548,3.92662053,3.93176117,-0.13074641,0.486133 µm.
7.60602927,0.00213016,0.00068467,4.11524794,4.12115510,-0.14333737,0.486133 µm.
7.60602927,0.00213016,0.00068467,4.11524794,4.12115510,-0.14333737,0.486133 µm.
7.95175787,0.00031249,-0.00135364,4.30410877,4.31085450,-0.15648228,0.486133 µm.
7.95175787,0.00031249,-0.00135364,4.30410877,4.31085450,-0.15648228,0.486133 µm.
8.29748647,-0.00155493,-0.00346749,4.49321452,4.50087395,-0.17017653,0.486133 µm.
8.29748647,-0.00155493,-0.00346749,4.49321452,4.50087395,-0.17017653,0.486133 µm.
8.64321508,-0.00346798,-0.00565482,4.68257680,4.69122814,-0.18441520,0.486133 µm.
8.64321508,-0.00346798,-0.00565482,4.68257680,4.69122814,-0.18441520,0.486133 µm.
8.98894368,-0.00542234,-0.00791345,4.87220737,4.88193184,-0.19919311,0.486133 µm.
8.98894368,-0.00542234,-0.00791345,4.87220737,4.88193184,-0.19919311,0.486133 µm.
9.33467228,-0.00741351,-0.01024110,5.06211814,5.07299996,-0.21450477,0.486133 µm.
9.33467228,-0.00741351,-0.01024110,5.06211814,5.07299996,-0.21450477,0.486133 µm.
9.68040089,-0.00943680,-0.01263536,5.25232114,5.26444749,-0.23034437,0.486133 µm.
9.68040089,-0.00943680,-0.01263536,5.25232114,5.26444749,-0.23034437,0.486133 µm.
10.02612949,-0.01148735,-0.01509371,5.44282857,5.45628955,-0.24670580,0.486133 µm.
10.02612949,-0.01148735,-0.01509371,5.44282857,5.45628955,-0.24670580,0.486133 µm.
10.37185809,-0.01356009,-0.01761349,5.63365280,5.64854137,-0.26358259,0.486133 µm.
10.37185809,-0.01356009,-0.01761349,5.63365280,5.64854137,-0.26358259,0.486133 µm.
10.71758670,-0.01564975,-0.02019194,5.82480636,5.84121831,-0.28096793,0.486133 µm.
10.71758670,-0.01564975,-0.02019194,5.82480636,5.84121831,-0.28096793,0.486133 µm.
11.06331530,-0.01775089,-0.02282613,6.01630196,6.03433586,-0.29885464,0.486133 µm.
11.06331530,-0.01775089,-0.02282613,6.01630196,6.03433586,-0.29885464,0.486133 µm.
11.40904390,-0.01985788,-0.02551303,6.20815252,6.22790964,-0.31723517,0.486133 µm.
11.40904390,-0.01985788,-0.02551303,6.20815252,6.22790964,-0.31723517,0.486133 µm.
11.75477250,-0.02196487,-0.02824945,6.40037114,6.42195543,-0.33610155,0.486133 µm.
11.75477250,-0.02196487,-0.02824945,6.40037114,6.42195543,-0.33610155,0.486133 µm.
12.10050111,-0.02406586,-0.03103206,6.59297113,6.61648914,-0.35544540,0.486133 µm.
12.10050111,-0.02406586,-0.03103206,6.59297113,6.61648914,-0.35544540,0.486133 µm.
12.44622971,-0.02615463,-0.03385737,6.78596602,6.81152682,-0.37525791,0.486133 µm.
12.44622971,-0.02615463,-0.03385737,6.78596602,6.81152682,-0.37525791,0.486133 µm.
12.79195831,-0.02822478,-0.03672173,6.97936958,7.00708469,-0.39552979,0.486133 µm.
12.79195831,-0.02822478,-0.03672173,6.97936958,7.00708469,-0.39552979,0.486133 µm.
13.13768692,-0.03026972,-0.03962136,7.17319582,7.20317915,-0.41625130,0.486133 µm.
13.13768692,-0.03026972,-0.03962136,7.17319582,7.20317915,-0.41625130,0.486133 µm.
13.48341552,-0.03228267,-0.04255227,7.36745899,7.39982674,-0.43741218,0.486133 µm.
13.48341552,-0.03228267,-0.04255227,7.36745899,7.39982674,-0.43741218,0.486133 µm.
13.82914412,-0.03425667,-0.04551033,7.56217362,7.59704418,-0.45900161,0.486133 µm.
13.82914412,-0.03425667,-0.04551033,7.56217362,7.59704418,-0.45900161,0.486133 µm.
14.17487273,-0.03618457,-0.04849118,7.75735452,7.79484838,-0.48100827,0.486133 µm.
14.17487273,-0.03618457,-0.04849118,7.75735452,7.79484838,-0.48100827,0.486133 µm.
14.52060133,-0.03805905,-0.05149033,7.95301677,7.99325644,-0.50342022,0.486133 µm.
14.52060133,-0.03805905,-0.05149033,7.95301677,7.99325644,-0.50342022,0.486133 µm.
14.86632993,-0.03987260,-0.05450305,8.14917579,8.19228564,-0.52622489,0.486133 µm.
14.86632993,-0.03987260,-0.05450305,8.14917579,8.19228564,-0.52622489,0.486133 µm.
15.21205854,-0.04161757,-0.05752441,8.34584730,8.39195345,-0.54940911,0.486133 µm.
15.21205854,-0.04161757,-0.05752441,8.34584730,8.39195345,-0.54940911,0.486133 µm.
15.55778714,-0.04328610,-0.06054929,8.54304736,8.59227758,-0.57295897,0.486133 µm.
15.55778714,-0.04328610,-0.06054929,8.54304736,8.59227758,-0.57295897,0.486133 µm.
15.90351574,-0.04487021,-0.06357231,8.74079239,8.79327593,-0.59685988,0.486133 µm.
15.90351574,-0.04487021,-0.06357231,8.74079239,8.79327593,-0.59685988,0.486133 µm.
16.24924434,-0.04636176,-0.06658789,8.93909919,8.99496661,-0.62109649,0.486133 µm.
16.24924434,-0.04636176,-0.06658789,8.93909919,8.99496661,-0.62109649,0.486133 µm.
16.59497295,-0.04775246,-0.06959019,9.13798493,9.19736797,-0.64565261,0.486133 µm.
16.59497295,-0.04775246,-0.06959019,9.13798493,9.19736797,-0.64565261,0.486133 µm.
16.94070155,-0.04903389,-0.07257311,9.33746720,9.40049860,-0.67051123,0.486133 µm.
16.94070155,-0.04903389,-0.07257311,9.33746720,9.40049860,-0.67051123,0.486133 µm.
17.28643015,-0.05019754,-0.07553029,9.53756403,9.60437731,-0.69565445,0.486133 µm.
17.28643015,-0.05019754,-0.07553029,9.53756403,9.60437731,-0.69565445,0.486133 µm.
17.63215876,-0.05123476,-0.07845509,9.73829390,9.80902318,-0.72106341,0.486133 µm.
17.63215876,-0.05123476,-0.07845509,9.73829390,9.80902318,-0.72106341,0.486133 µm.
17.97788736,-0.05213684,-0.08134058,9.93967576,10.01445553,-0.74671823,0.486133 µm.
17.97788736,-0.05213684,-0.08134058,9.93967576,10.01445553,-0.74671823,0.486133 µm.
18.32361596,-0.05289499,-0.08417953,10.14172907,10.22069395,-0.77259800,0.486133 µm.
18.32361596,-0.05289499,-0.08417953,10.14172907,10.22069395,-0.77259800,0.486133 µm.
18.66934457,-0.05350040,-0.08696437,10.34447381,10.42775830,-0.79868064,0.486133 µm.
18.66934457,-0.05350040,-0.08696437,10.34447381,10.42775830,-0.79868064,0.486133 µm.
19.01507317,-0.05394422,-0.08968721,10.54793053,10.63566873,-0.82494290,0.486133 µm.
19.01507317,-0.05394422,-0.08968721,10.54793053,10.63566873,-0.82494290,0.486133 µm.
19.36080177,-0.05421763,-0.09233980,10.75212036,10.84444566,-0.85136025,0.486133 µm.
19.36080177,-0.05421763,-0.09233980,10.75212036,10.84444566,-0.85136025,0.486133 µm.
19.70653038,-0.05431184,-0.09491351,10.95706505,11.05410983,-0.87790681,0.486133 µm.
19.70653038,-0.05431184,-0.09491351,10.95706505,11.05410983,-0.87790681,0.486133 µm.
20.05225898,-0.05421817,-0.09739932,11.16278699,11.26468226,-0.90455524,0.486133 µm.
20.05225898,-0.05421817,-0.09739932,11.16278699,11.26468226,-0.90455524,0.486133 µm.
20.39798758,-0.05392803,-0.09978782,11.36930928,11.47618431,-0.93127668,0.486133 µm.
20.39798758,-0.05392803,-0.09978782,11.36930928,11.47618431,-0.93127668,0.486133 µm.
20.74371618,-0.05343306,-0.10206913,11.57665576,11.68863765,-0.95804064,0.486133 µm.
20.74371618,-0.05343306,-0.10206913,11.57665576,11.68863765,-0.95804064,0.486133 µm.
21.08944479,-0.05272511,-0.10423294,11.78485100,11.90206430,-0.98481486,0.486133 µm.
21.08944479,-0.05272511,-0.10423294,11.78485100,11.90206430,-0.98481486,0.486133 µm.
21.43517339,-0.05179632,-0.10626845,11.99392043,12.11648660,-1.01156526,0.486133 µm.
21.43517339,-0.05179632,-0.10626845,11.99392043,12.11648660,-1.01156526,0.486133 µm.
21.78090199,-0.05063926,-0.10816433,12.20389032,12.33192726,-1.03825571,0.486133 µm.
21.78090199,-0.05063926,-0.10816433,12.20389032,12.33192726,-1.03825571,0.486133 µm.
22.12663060,-0.04924691,-0.10990874,12.41478787,12.54840935,-1.06484799,0.486133 µm.
22.12663060,-0.04924691,-0.10990874,12.41478787,12.54840935,-1.06484799,0.486133 µm.
22.47235920,-0.04761284,-0.11148924,12.62664126,12.76595634,-1.09130159,0.486133 µm.
22.47235920,-0.04761284,-0.11148924,12.62664126,12.76595634,-1.09130159,0.486133 µm.
22.81808780,-0.04573131,-0.11289283,12.83947969,12.98459205,-1.11757352,0.486133 µm.
22.81808780,-0.04573131,-0.11289283,12.83947969,12.98459205,-1.11757352,0.486133 µm.
23.16381641,-0.04359734,-0.11410581,13.05333348,13.20434072,-1.14361819,0.486133 µm.
23.16381641,-0.04359734,-0.11410581,13.05333348,13.20434072,-1.14361819,0.486133 µm.
23.50954501,-0.04120694,-0.11511386,13.26823411,13.42522699,-1.16938717,0.486133 µm.
23.50954501,-0.04120694,-0.11511386,13.26823411,13.42522699,-1.16938717,0.486133 µm.
23.85527361,-0.03855721,-0.11590189,13.48421434,13.64727594,-1.19482897,0.486133 µm.
23.85527361,-0.03855721,-0.11590189,13.48421434,13.64727594,-1.19482897,0.486133 µm.
24.20100222,-0.03564656,-0.11645408,13.70130823,13.87051307,-1.21988884,0.486133 µm.
24.20100222,-0.03564656,-0.11645408,13.70130823,13.87051307,-1.21988884,0.486133 µm.
24.54673082,-0.03247494,-0.11675376,13.91955130,14.09496432,-1.24450847,0.486133 µm.
24.54673082,-0.03247494,-0.11675376,13.91955130,14.09496432,-1.24450847,0.486133 µm.
24.89245942,-0.02904405,-0.11678344,14.13898058,14.32065611,-1.26862574,0.486133 µm.
24.89245942,-0.02904405,-0.11678344,14.13898058,14.32065611,-1.26862574,0.486133 µm.
25.23818803,-0.02535767,-0.11652466,14.35963478,14.54761533,-1.29217436,0.486133 µm.
25.23818803,-0.02535767,-0.11652466,14.35963478,14.54761533,-1.29217436,0.486133 µm.
25.58391663,-0.02142199,-0.11595799,14.58155432,14.77586935,-1.31508357,0.486133 µm.
25.58391663,-0.02142199,-0.11595799,14.58155432,14.77586935,-1.31508357,0.486133 µm.
25.92964523,-0.01724593,-0.11506294,14.80478156,15.00544604,-1.33727772,0.486133 µm.
25.92964523,-0.01724593,-0.11506294,14.80478156,15.00544604,-1.33727772,0.486133 µm.
26.27537383,-0.01284168,-0.11381790,15.02936088,15.23637381,-1.35867586,0.486133 µm.
26.27537383,-0.01284168,-0.11381790,15.02936088,15.23637381,-1.35867586,0.486133 µm.
26.62110244,-0.00822513,-0.11220005,15.25533888,15.46868158,-1.37919126,0.486133 µm.
26.62110244,-0.00822513,-0.11220005,15.25533888,15.46868158,-1.37919126,0.486133 µm.
26.96683104,-0.00341648,-0.11018526,15.48276453,15.70239883,-1.39873089,0.486133 µm.
26.96683104,-0.00341648,-0.11018526,15.48276453,15.70239883,-1.39873089,0.486133 µm.
27.31255964,0.00155907,-0.10774800,15.71168939,15.93755560,-1.41719480,0.486133 µm.
27.31255964,0.00155907,-0.10774800,15.71168939,15.93755560,-1.41719480,0.486133 µm.
27.65828825,0.00667050,-0.10486127,15.94216783,16.17418252,-1.43447551,0.486133 µm.
27.65828825,0.00667050,-0.10486127,15.94216783,16.17418252,-1.43447551,0.486133 µm.
28.00401685,0.01188009,-0.10149642,16.17425726,16.41231081,-1.45045721,0.486133 µm.
28.00401685,0.01188009,-0.10149642,16.17425726,16.41231081,-1.45045721,0.486133 µm.
28.34974545,0.01714234,-0.09762308,16.40801842,16.65197231,-1.46501499,0.486133 µm.
28.34974545,0.01714234,-0.09762308,16.40801842,16.65197231,-1.46501499,0.486133 µm.
28.69547406,0.02240263,-0.09320897,16.64351568,16.89319950,-1.47801385,0.486133 µm.
28.69547406,0.02240263,-0.09320897,16.64351568,16.89319950,-1.47801385,0.486133 µm.
29.04120266,0.02759582,-0.08821978,16.88081739,17.13602552,-1.48930762,0.486133 µm.
29.04120266,0.02759582,-0.08821978,16.88081739,17.13602552,-1.48930762,0.486133 µm.
29.38693126,0.03264444,-0.08261898,17.11999629,17.38048418,-1.49873782,0.486133 µm.
29.38693126,0.03264444,-0.08261898,17.11999629,17.38048418,-1.49873782,0.486133 µm.
29.73265987,0.03745663,-0.07636763,17.36112992,17.62660997,-1.50613220,0.486133 µm.
29.73265987,0.03745663,-0.07636763,17.36112992,17.62660997,-1.50613220,0.486133 µm.
