Y Angle (deg),Tan Shift,Sag Shift,Real Height,Ref. Height,Distortion,Wavelength
0.00000000,-0.25685089,-0.25685089,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.00000000,-0.25685089,-0.25685089,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.31340448,-0.25691858,-0.25691810,0.19093123,0.19093202,-0.00041404,0.486133 µm.
0.31340448,-0.25691858,-0.25691810,0.19093123,0.19093202,-0.00041404,0.486133 µm.
0.62680896,-0.25713809,-0.25711969,0.38187141,0.38187548,-0.00106584,0.486133 µm.
0.62680896,-0.25713809,-0.25711969,0.38187141,0.38187548,-0.00106584,0.486133 µm.
0.94021344,-0.25750944,-0.25745554,0.57282945,0.57284178,-0.00215188,0.486133 µm.
0.94021344,-0.25750944,-0.25745554,0.57282945,0.57284178,-0.00215188,0.486133 µm.
1.25361792,-0.25803263,-0.25792548,0.76381433,0.76384238,-0.00367210,0.486133 µm.
1.25361792,-0.25803263,-0.25792548,0.76381433,0.76384238,-0.00367210,0.486133 µm.
1.56702240,-0.25870767,-0.25852927,0.95483498,0.95488870,-0.00562602,0.486133 µm.
1.56702240,-0.25870767,-0.25852927,0.95483498,0.95488870,-0.00562602,0.486133 µm.
1.88042688,-0.25953457,-0.25926657,1.14590038,1.14599221,-0.00801315,0.486133 µm.
1.88042688,-0.25953457,-0.25926657,1.14590038,1.14599221,-0.00801315,0.486133 µm.
2.19383136,-0.26051335,-0.26013699,1.33701952,1.33716438,-0.01083290,0.486133 µm.
2.19383136,-0.26051335,-0.26013699,1.33701952,1.33716438,-0.01083290,0.486133 µm.
2.50723584,-0.26164403,-0.26114005,1.52820140,1.52841667,-0.01408456,0.486133 µm.
2.50723584,-0.26164403,-0.26114005,1.52820140,1.52841667,-0.01408456,0.486133 µm.
2.82064032,-0.26292663,-0.26227523,1.71945506,1.71976061,-0.01776730,0.486133 µm.
2.82064032,-0.26292663,-0.26227523,1.71945506,1.71976061,-0.01776730,0.486133 µm.
3.13404480,-0.26436117,-0.26354189,1.91078953,1.91120771,-0.02188021,0.486133 µm.
3.13404480,-0.26436117,-0.26354189,1.91078953,1.91120771,-0.02188021,0.486133 µm.
3.44744928,-0.26594768,-0.26493934,2.10221393,2.10276952,-0.02642224,0.486133 µm.
3.44744928,-0.26594768,-0.26493934,2.10221393,2.10276952,-0.02642224,0.486133 µm.
3.76085376,-0.26768621,-0.26646681,2.29373735,2.29445763,-0.03139223,0.486133 µm.
3.76085376,-0.26768621,-0.26646681,2.29373735,2.29445763,-0.03139223,0.486133 µm.
4.07425824,-0.26957679,-0.26812346,2.48536895,2.48628363,-0.03678890,0.486133 µm.
4.07425824,-0.26957679,-0.26812346,2.48536895,2.48628363,-0.03678890,0.486133 µm.
4.38766272,-0.27161948,-0.26990836,2.67711794,2.67825917,-0.04261088,0.486133 µm.
4.38766272,-0.27161948,-0.26990836,2.67711794,2.67825917,-0.04261088,0.486133 µm.
4.70106720,-0.27381432,-0.27182050,2.86899354,2.87039592,-0.04885664,0.486133 µm.
4.70106720,-0.27381432,-0.27182050,2.86899354,2.87039592,-0.04885664,0.486133 µm.
5.01447167,-0.27616139,-0.27385880,3.06100505,3.06270560,-0.05552456,0.486133 µm.
5.01447167,-0.27616139,-0.27385880,3.06100505,3.06270560,-0.05552456,0.486133 µm.
5.32787615,-0.27866076,-0.27602208,3.25316180,3.25519998,-0.06261288,0.486133 µm.
5.32787615,-0.27866076,-0.27602208,3.25316180,3.25519998,-0.06261288,0.486133 µm.
5.64128063,-0.28131251,-0.27830910,3.44547319,3.44789084,-0.07011973,0.486133 µm.
5.64128063,-0.28131251,-0.27830910,3.44547319,3.44789084,-0.07011973,0.486133 µm.
5.95468511,-0.28411675,-0.28071852,3.63794866,3.64079005,-0.07804310,0.486133 µm.
5.95468511,-0.28411675,-0.28071852,3.63794866,3.64079005,-0.07804310,0.486133 µm.
6.26808959,-0.28707358,-0.28324890,3.83059773,3.83390949,-0.08638086,0.486133 µm.
6.26808959,-0.28707358,-0.28324890,3.83059773,3.83390949,-0.08638086,0.486133 µm.
6.58149407,-0.29018314,-0.28589874,4.02342997,4.02726114,-0.09513073,0.486133 µm.
6.58149407,-0.29018314,-0.28589874,4.02342997,4.02726114,-0.09513073,0.486133 µm.
6.89489855,-0.29344556,-0.28866643,4.21645504,4.22085698,-0.10429033,0.486133 µm.
6.89489855,-0.29344556,-0.28866643,4.21645504,4.22085698,-0.10429033,0.486133 µm.
7.20830303,-0.29686100,-0.29155026,4.40968265,4.41470911,-0.11385711,0.486133 µm.
7.20830303,-0.29686100,-0.29155026,4.40968265,4.41470911,-0.11385711,0.486133 µm.
7.52170751,-0.30042965,-0.29454844,4.60312260,4.60882964,-0.12382839,0.486133 µm.
7.52170751,-0.30042965,-0.29454844,4.60312260,4.60882964,-0.12382839,0.486133 µm.
7.83511199,-0.30415170,-0.29765908,4.79678479,4.80323079,-0.13420134,0.486133 µm.
7.83511199,-0.30415170,-0.29765908,4.79678479,4.80323079,-0.13420134,0.486133 µm.
8.14851647,-0.30802737,-0.30088018,4.99067916,4.99792481,-0.14497299,0.486133 µm.
8.14851647,-0.30802737,-0.30088018,4.99067916,4.99792481,-0.14497299,0.486133 µm.
8.46192095,-0.31205692,-0.30420963,5.18481580,5.19292404,-0.15614022,0.486133 µm.
8.46192095,-0.31205692,-0.30420963,5.18481580,5.19292404,-0.15614022,0.486133 µm.
8.77532543,-0.31624063,-0.30764523,5.37920484,5.38824091,-0.16769975,0.486133 µm.
8.77532543,-0.31624063,-0.30764523,5.37920484,5.38824091,-0.16769975,0.486133 µm.
9.08872991,-0.32057879,-0.31118467,5.57385655,5.58388790,-0.17964813,0.486133 µm.
9.08872991,-0.32057879,-0.31118467,5.57385655,5.58388790,-0.17964813,0.486133 µm.
9.40213439,-0.32507174,-0.31482550,5.76878128,5.77987759,-0.19198176,0.486133 µm.
9.40213439,-0.32507174,-0.31482550,5.76878128,5.77987759,-0.19198176,0.486133 µm.
9.71553887,-0.32971986,-0.31856519,5.96398951,5.97622265,-0.20469688,0.486133 µm.
9.71553887,-0.32971986,-0.31856519,5.96398951,5.97622265,-0.20469688,0.486133 µm.
10.02894335,-0.33452356,-0.32240106,6.15949181,6.17293581,-0.21778953,0.486133 µm.
10.02894335,-0.33452356,-0.32240106,6.15949181,6.17293581,-0.21778953,0.486133 µm.
10.34234783,-0.33948328,-0.32633032,6.35529888,6.37002993,-0.23125558,0.486133 µm.
10.34234783,-0.33948328,-0.32633032,6.35529888,6.37002993,-0.23125558,0.486133 µm.
10.65575231,-0.34459952,-0.33035005,6.55142156,6.56751794,-0.24509074,0.486133 µm.
10.65575231,-0.34459952,-0.33035005,6.55142156,6.56751794,-0.24509074,0.486133 µm.
10.96915679,-0.34987283,-0.33445718,6.74787080,6.76541287,-0.25929050,0.486133 µm.
10.96915679,-0.34987283,-0.33445718,6.74787080,6.76541287,-0.25929050,0.486133 µm.
11.28256127,-0.35530378,-0.33864853,6.94465768,6.96372786,-0.27385017,0.486133 µm.
11.28256127,-0.35530378,-0.33864853,6.94465768,6.96372786,-0.27385017,0.486133 µm.
11.59596575,-0.36089303,-0.34292075,7.14179345,7.16247617,-0.28876485,0.486133 µm.
11.59596575,-0.36089303,-0.34292075,7.14179345,7.16247617,-0.28876485,0.486133 µm.
11.90937023,-0.36664127,-0.34727036,7.33928949,7.36167113,-0.30402943,0.486133 µm.
11.90937023,-0.36664127,-0.34727036,7.33928949,7.36167113,-0.30402943,0.486133 µm.
12.22277471,-0.37254927,-0.35169372,7.53715731,7.56132623,-0.31963861,0.486133 µm.
12.22277471,-0.37254927,-0.35169372,7.53715731,7.56132623,-0.31963861,0.486133 µm.
12.53617919,-0.37861785,-0.35618702,7.73540862,7.76145504,-0.33558684,0.486133 µm.
12.53617919,-0.37861785,-0.35618702,7.73540862,7.76145504,-0.33558684,0.486133 µm.
12.84958367,-0.38484792,-0.36074630,7.93405527,7.96207128,-0.35186834,0.486133 µm.
12.84958367,-0.38484792,-0.36074630,7.93405527,7.96207128,-0.35186834,0.486133 µm.
13.16298815,-0.39124045,-0.36536742,8.13310928,8.16318877,-0.36847712,0.486133 µm.
13.16298815,-0.39124045,-0.36536742,8.13310928,8.16318877,-0.36847712,0.486133 µm.
13.47639263,-0.39779650,-0.37004606,8.33258287,8.36482147,-0.38540691,0.486133 µm.
13.47639263,-0.39779650,-0.37004606,8.33258287,8.36482147,-0.38540691,0.486133 µm.
13.78979711,-0.40451720,-0.37477771,8.53248843,8.56698350,-0.40265121,0.486133 µm.
13.78979711,-0.40451720,-0.37477771,8.53248843,8.56698350,-0.40265121,0.486133 µm.
14.10320159,-0.41140379,-0.37955766,8.73283855,8.76968906,-0.42020324,0.486133 µm.
14.10320159,-0.41140379,-0.37955766,8.73283855,8.76968906,-0.42020324,0.486133 µm.
14.41660606,-0.41845760,-0.38438103,8.93364600,8.97295255,-0.43805596,0.486133 µm.
14.41660606,-0.41845760,-0.38438103,8.93364600,8.97295255,-0.43805596,0.486133 µm.
14.73001054,-0.42568007,-0.38924268,9.13492378,9.17678848,-0.45620204,0.486133 µm.
14.73001054,-0.42568007,-0.38924268,9.13492378,9.17678848,-0.45620204,0.486133 µm.
15.04341502,-0.43307273,-0.39413729,9.33668511,9.38121152,-0.47463386,0.486133 µm.
15.04341502,-0.43307273,-0.39413729,9.33668511,9.38121152,-0.47463386,0.486133 µm.
15.35681950,-0.44063725,-0.39905928,9.53894343,9.58623650,-0.49334348,0.486133 µm.
15.35681950,-0.44063725,-0.39905928,9.53894343,9.58623650,-0.49334348,0.486133 µm.
15.67022398,-0.44837542,-0.40400284,9.74171239,9.79187841,-0.51232267,0.486133 µm.
15.67022398,-0.44837542,-0.40400284,9.74171239,9.79187841,-0.51232267,0.486133 µm.
15.98362846,-0.45628917,-0.40896193,9.94500592,9.99815239,-0.53156286,0.486133 µm.
15.98362846,-0.45628917,-0.40896193,9.94500592,9.99815239,-0.53156286,0.486133 µm.
