Y Angle (deg),Tan Shift,Sag Shift,Real Height,Ref. Height,Distortion,Wavelength
0.00000000,0.41410699,0.41410699,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.00000000,0.41410699,0.41410699,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.11287748,0.41409217,0.41407253,0.20583294,0.20583344,-0.00024006,0.486133 µm.
0.11287748,0.41409217,0.41407253,0.20583294,0.20583344,-0.00024006,0.486133 µm.
0.22575496,0.41405125,0.41396917,0.41166903,0.41166847,0.00013685,0.486133 µm.
0.22575496,0.41405125,0.41396917,0.41166903,0.41166847,0.00013685,0.486133 µm.
0.33863244,0.41398432,0.41379697,0.61751142,0.61750670,0.00076485,0.486133 µm.
0.33863244,0.41398432,0.41379697,0.61751142,0.61750670,0.00076485,0.486133 µm.
0.45150992,0.41389154,0.41355601,0.82336325,0.82334972,0.00164367,0.486133 µm.
0.45150992,0.41389154,0.41355601,0.82336325,0.82334972,0.00164367,0.486133 µm.
0.56438740,0.41377311,0.41324644,1.02922767,1.02919913,0.00277290,0.486133 µm.
0.56438740,0.41377311,0.41324644,1.02922767,1.02919913,0.00277290,0.486133 µm.
0.67726488,0.41362928,0.41286841,1.23510782,1.23505654,0.00415207,0.486133 µm.
0.67726488,0.41362928,0.41286841,1.23510782,1.23505654,0.00415207,0.486133 µm.
0.79014236,0.41346038,0.41242215,1.44100682,1.44092353,0.00578048,0.486133 µm.
0.79014236,0.41346038,0.41242215,1.44100682,1.44092353,0.00578048,0.486133 µm.
0.90301984,0.41326678,0.41190789,1.64692781,1.64680171,0.00765754,0.486133 µm.
0.90301984,0.41326678,0.41190789,1.64692781,1.64680171,0.00765754,0.486133 µm.
1.01589732,0.41304890,0.41132593,1.85287391,1.85269267,0.00978235,0.486133 µm.
1.01589732,0.41304890,0.41132593,1.85287391,1.85269267,0.00978235,0.486133 µm.
1.12877480,0.41280725,0.41067658,2.05884823,2.05859802,0.01215397,0.486133 µm.
1.12877480,0.41280725,0.41067658,2.05884823,2.05859802,0.01215397,0.486133 µm.
1.24165228,0.41254234,0.40996020,2.26485386,2.26451936,0.01477131,0.486133 µm.
1.24165228,0.41254234,0.40996020,2.26485386,2.26451936,0.01477131,0.486133 µm.
1.35452976,0.41225480,0.40917720,2.47089391,2.47045829,0.01763321,0.486133 µm.
1.35452976,0.41225480,0.40917720,2.47089391,2.47045829,0.01763321,0.486133 µm.
1.46740724,0.41194526,0.40832801,2.67697144,2.67641640,0.02073837,0.486133 µm.
1.46740724,0.41194526,0.40832801,2.67697144,2.67641640,0.02073837,0.486133 µm.
1.58028472,0.41161443,0.40741312,2.88308954,2.88239530,0.02408536,0.486133 µm.
1.58028472,0.41161443,0.40741312,2.88308954,2.88239530,0.02408536,0.486133 µm.
1.69316220,0.41126309,0.40643304,3.08925123,3.08839659,0.02767267,0.486133 µm.
1.69316220,0.41126309,0.40643304,3.08925123,3.08839659,0.02767267,0.486133 µm.
1.80603968,0.41089203,0.40538833,3.29545958,3.29442188,0.03149864,0.486133 µm.
1.80603968,0.41089203,0.40538833,3.29545958,3.29442188,0.03149864,0.486133 µm.
1.91891716,0.41050214,0.40427959,3.50171759,3.50047277,0.03556149,0.486133 µm.
1.91891716,0.41050214,0.40427959,3.50171759,3.50047277,0.03556149,0.486133 µm.
2.03179464,0.41009434,0.40310745,3.70802826,3.70655085,0.03985933,0.486133 µm.
2.03179464,0.41009434,0.40310745,3.70802826,3.70655085,0.03985933,0.486133 µm.
2.14467212,0.40966959,0.40187260,3.91439459,3.91265775,0.04439015,0.486133 µm.
