Y Height,Tan Shift,Sag Shift,Real Height,Ref. Height,Distortion,Wavelength
6.67000000,-0.11705284,-0.13676135,6.66640891,6.66562081,0.01182335,0.486133 µm.
6.90000000,-0.12593277,-0.14724448,6.89634049,6.89546980,0.01262701,0.486133 µm.
6.90000000,-0.12593277,-0.14724448,6.89634049,6.89546980,0.01262701,0.486133 µm.
7.13000000,-0.13506990,-0.15806952,7.12627746,7.12531880,0.01345434,0.486133 µm.
7.13000000,-0.13506990,-0.15806952,7.12627746,7.12531880,0.01345434,0.486133 µm.
7.36000000,-0.14445985,-0.16923513,7.35621994,7.35516779,0.01430499,0.486133 µm.
7.36000000,-0.14445985,-0.16923513,7.35621994,7.35516779,0.01430499,0.486133 µm.
7.59000000,-0.15409810,-0.18073994,7.58616808,7.58501678,0.01517860,0.486133 µm.
7.59000000,-0.15409810,-0.18073994,7.58616808,7.58501678,0.01517860,0.486133 µm.
7.82000000,-0.16397998,-0.19258250,7.81612200,7.81486578,0.01607478,0.486133 µm.
7.82000000,-0.16397998,-0.19258250,7.81612200,7.81486578,0.01607478,0.486133 µm.
8.05000000,-0.17410068,-0.20476137,8.04608182,8.04471477,0.01699313,0.486133 µm.
8.05000000,-0.17410068,-0.20476137,8.04608182,8.04471477,0.01699313,0.486133 µm.
8.28000000,-0.18445523,-0.21727502,8.27604766,8.27456376,0.01793326,0.486133 µm.
8.28000000,-0.18445523,-0.21727502,8.27604766,8.27456376,0.01793326,0.486133 µm.
8.51000000,-0.19503855,-0.23012191,8.50601964,8.50441276,0.01889475,0.486133 µm.
8.51000000,-0.19503855,-0.23012191,8.50601964,8.50441276,0.01889475,0.486133 µm.
8.74000000,-0.20584538,-0.24330043,8.73599787,8.73426175,0.01987716,0.486133 µm.
8.74000000,-0.20584538,-0.24330043,8.73599787,8.73426175,0.01987716,0.486133 µm.
8.97000000,-0.21687034,-0.25680896,8.96598245,8.96411074,0.02088007,0.486133 µm.
8.97000000,-0.21687034,-0.25680896,8.96598245,8.96411074,0.02088007,0.486133 µm.
9.20000000,-0.22810789,-0.27064580,9.19597349,9.19395974,0.02190300,0.486133 µm.
9.20000000,-0.22810789,-0.27064580,9.19597349,9.19395974,0.02190300,0.486133 µm.
9.43000000,-0.23955236,-0.28480924,9.42597107,9.42380873,0.02294550,0.486133 µm.
9.43000000,-0.23955236,-0.28480924,9.42597107,9.42380873,0.02294550,0.486133 µm.
9.66000000,-0.25119792,-0.29929752,9.65597529,9.65365772,0.02400709,0.486133 µm.
9.66000000,-0.25119792,-0.29929752,9.65597529,9.65365772,0.02400709,0.486133 µm.
9.89000000,-0.26303860,-0.31410882,9.88598622,9.88350672,0.02508729,0.486133 µm.
9.89000000,-0.26303860,-0.31410882,9.88598622,9.88350672,0.02508729,0.486133 µm.
10.12000000,-0.27506830,-0.32924129,10.11600395,10.11335571,0.02618559,0.486133 µm.
10.12000000,-0.27506830,-0.32924129,10.11600395,10.11335571,0.02618559,0.486133 µm.
10.35000000,-0.28728076,-0.34469305,10.34602855,10.34320470,0.02730147,0.486133 µm.
10.35000000,-0.28728076,-0.34469305,10.34602855,10.34320470,0.02730147,0.486133 µm.
10.58000000,-0.29966957,-0.36046217,10.57606008,10.57305370,0.02843442,0.486133 µm.
10.58000000,-0.29966957,-0.36046217,10.57606008,10.57305370,0.02843442,0.486133 µm.
10.81000000,-0.31222819,-0.37654666,10.80609861,10.80290269,0.02958389,0.486133 µm.
10.81000000,-0.31222819,-0.37654666,10.80609861,10.80290269,0.02958389,0.486133 µm.
11.04000000,-0.32494993,-0.39294452,11.03614418,11.03275168,0.03074933,0.486133 µm.
11.04000000,-0.32494993,-0.39294452,11.03614418,11.03275168,0.03074933,0.486133 µm.
11.27000000,-0.33782794,-0.40965369,11.26619685,11.26260068,0.03193019,0.486133 µm.
11.27000000,-0.33782794,-0.40965369,11.26619685,11.26260068,0.03193019,0.486133 µm.
11.50000000,-0.35085525,-0.42667206,11.49625665,11.49244967,0.03312589,0.486133 µm.
11.50000000,-0.35085525,-0.42667206,11.49625665,11.49244967,0.03312589,0.486133 µm.
11.73000000,-0.36402472,-0.44399751,11.72632361,11.72229866,0.03433583,0.486133 µm.
11.73000000,-0.36402472,-0.44399751,11.72632361,11.72229866,0.03433583,0.486133 µm.
11.96000000,-0.37732907,-0.46162784,11.95639777,11.95214766,0.03555943,0.486133 µm.
11.96000000,-0.37732907,-0.46162784,11.95639777,11.95214766,0.03555943,0.486133 µm.
12.19000000,-0.39076089,-0.47956084,12.18647915,12.18199665,0.03679607,0.486133 µm.
12.19000000,-0.39076089,-0.47956084,12.18647915,12.18199665,0.03679607,0.486133 µm.
