Y Angle (deg),Tan Shift,Sag Shift,Real Height,Ref. Height,Distortion,Wavelength
0.00000000,0.17085824,0.17085824,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.00000000,0.17085824,0.17085824,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.15032717,0.17086537,0.17083461,0.20992406,0.20992470,-0.00030321,0.486133 µm.
0.15032717,0.17086537,0.17083461,0.20992406,0.20992470,-0.00030321,0.486133 µm.
0.30065434,0.17088550,0.17076374,0.41984861,0.41985229,-0.00087665,0.486133 µm.
0.30065434,0.17088550,0.17076374,0.41984861,0.41985229,-0.00087665,0.486133 µm.
0.45098151,0.17091857,0.17064565,0.62977412,0.62978566,-0.00183250,0.486133 µm.
0.45098151,0.17091857,0.17064565,0.62977412,0.62978566,-0.00183250,0.486133 µm.
0.60130868,0.17096450,0.17048041,0.83970107,0.83972770,-0.00317091,0.486133 µm.
0.60130868,0.17096450,0.17048041,0.83970107,0.83972770,-0.00317091,0.486133 µm.
0.75163586,0.17102316,0.17026808,1.04962995,1.04968131,-0.00489214,0.486133 µm.
0.75163586,0.17102316,0.17026808,1.04962995,1.04968131,-0.00489214,0.486133 µm.
0.90196303,0.17109439,0.17000877,1.25956123,1.25964936,-0.00699647,0.486133 µm.
0.90196303,0.17109439,0.17000877,1.25956123,1.25964936,-0.00699647,0.486133 µm.
1.05229020,0.17117799,0.16970259,1.46949538,1.46963477,-0.00948432,0.486133 µm.
1.05229020,0.17117799,0.16970259,1.46949538,1.46963477,-0.00948432,0.486133 µm.
1.20261737,0.17127374,0.16934968,1.67943288,1.67964041,-0.01235605,0.486133 µm.
1.20261737,0.17127374,0.16934968,1.67943288,1.67964041,-0.01235605,0.486133 µm.
1.35294454,0.17138137,0.16895021,1.88937417,1.88966919,-0.01561221,0.486133 µm.
1.35294454,0.17138137,0.16895021,1.88937417,1.88966919,-0.01561221,0.486133 µm.
1.50327171,0.17150057,0.16850435,2.09931974,2.09972400,-0.01925337,0.486133 µm.
1.50327171,0.17150057,0.16850435,2.09931974,2.09972400,-0.01925337,0.486133 µm.
1.65359888,0.17163101,0.16801231,2.30927002,2.30980774,-0.02328016,0.486133 µm.
