Y Height,Tan Shift,Sag Shift,Real Height,Ref. Height,Distortion,Wavelength
0.00000000,0.02783701,0.02783701,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.00000000,0.02783701,0.02783701,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.01000000,0.02783533,0.02783617,0.00999395,0.00999395,0.00000002,0.486133 µm.
0.01000000,0.02783533,0.02783617,0.00999395,0.00999395,0.00000002,0.486133 µm.
0.02000000,0.02783015,0.02783364,0.01998791,0.01998791,0.00000010,0.486133 µm.
0.02000000,0.02783015,0.02783364,0.01998791,0.01998791,0.00000010,0.486133 µm.
0.03000000,0.02782144,0.02782942,0.02998186,0.02998186,0.00000022,0.486133 µm.
0.03000000,0.02782144,0.02782942,0.02998186,0.02998186,0.00000022,0.486133 µm.
0.04000000,0.02780923,0.02782352,0.03997581,0.03997581,0.00000039,0.486133 µm.
0.04000000,0.02780923,0.02782352,0.03997581,0.03997581,0.00000039,0.486133 µm.
0.05000000,0.02779350,0.02781593,0.04996977,0.04996977,0.00000061,0.486133 µm.
0.05000000,0.02779350,0.02781593,0.04996977,0.04996977,0.00000061,0.486133 µm.
0.06000000,0.02777426,0.02780665,0.05996372,0.05996372,0.00000088,0.486133 µm.
0.06000000,0.02777426,0.02780665,0.05996372,0.05996372,0.00000088,0.486133 µm.
0.07000000,0.02775151,0.02779569,0.06995768,0.06995768,0.00000119,0.486133 µm.
0.07000000,0.02775151,0.02779569,0.06995768,0.06995768,0.00000119,0.486133 µm.
0.08000000,0.02772525,0.02778304,0.07995163,0.07995163,0.00000156,0.486133 µm.
0.08000000,0.02772525,0.02778304,0.07995163,0.07995163,0.00000156,0.486133 µm.
0.09000000,0.02769547,0.02776870,0.08994558,0.08994558,0.00000198,0.486133 µm.
0.09000000,0.02769547,0.02776870,0.08994558,0.08994558,0.00000198,0.486133 µm.
0.10000000,0.02766218,0.02775268,0.09993954,0.09993954,0.00000244,0.486133 µm.
0.10000000,0.02766218,0.02775268,0.09993954,0.09993954,0.00000244,0.486133 µm.
0.11000000,0.02762538,0.02773497,0.10993349,0.10993349,0.00000295,0.486133 µm.
0.11000000,0.02762538,0.02773497,0.10993349,0.10993349,0.00000295,0.486133 µm.
0.12000000,0.02758506,0.02771558,0.11992745,0.11992744,0.00000351,0.486133 µm.
0.12000000,0.02758506,0.02771558,0.11992745,0.11992744,0.00000351,0.486133 µm.
0.13000000,0.02754123,0.02769449,0.12992140,0.12992140,0.00000412,0.486133 µm.
0.13000000,0.02754123,0.02769449,0.12992140,0.12992140,0.00000412,0.486133 µm.
0.14000000,0.02749389,0.02767172,0.13991536,0.13991535,0.00000478,0.486133 µm.
0.14000000,0.02749389,0.02767172,0.13991536,0.13991535,0.00000478,0.486133 µm.
0.15000000,0.02744303,0.02764727,0.14990931,0.14990930,0.00000549,0.486133 µm.
0.15000000,0.02744303,0.02764727,0.14990931,0.14990930,0.00000549,0.486133 µm.
0.16000000,0.02738867,0.02762113,0.15990327,0.15990326,0.00000624,0.486133 µm.
0.16000000,0.02738867,0.02762113,0.15990327,0.15990326,0.00000624,0.486133 µm.
0.17000000,0.02733079,0.02759330,0.16989722,0.16989721,0.00000705,0.486133 µm.
0.17000000,0.02733079,0.02759330,0.16989722,0.16989721,0.00000705,0.486133 µm.
0.18000000,0.02726939,0.02756378,0.17989118,0.17989117,0.00000790,0.486133 µm.
0.18000000,0.02726939,0.02756378,0.17989118,0.17989117,0.00000790,0.486133 µm.
0.19000000,0.02720449,0.02753258,0.18988514,0.18988512,0.00000880,0.486133 µm.
0.19000000,0.02720449,0.02753258,0.18988514,0.18988512,0.00000880,0.486133 µm.
0.20000000,0.02713607,0.02749969,0.19987909,0.19987907,0.00000975,0.486133 µm.
0.20000000,0.02713607,0.02749969,0.19987909,0.19987907,0.00000975,0.486133 µm.
0.21000000,0.02706414,0.02746512,0.20987305,0.20987303,0.00001075,0.486133 µm.
0.21000000,0.02706414,0.02746512,0.20987305,0.20987303,0.00001075,0.486133 µm.
0.22000000,0.02698869,0.02742886,0.21986701,0.21986698,0.00001180,0.486133 µm.
0.22000000,0.02698869,0.02742886,0.21986701,0.21986698,0.00001180,0.486133 µm.
0.23000000,0.02690974,0.02739091,0.22986096,0.22986093,0.00001290,0.486133 µm.
0.23000000,0.02690974,0.02739091,0.22986096,0.22986093,0.00001290,0.486133 µm.
0.24000000,0.02682727,0.02735128,0.23985492,0.23985489,0.00001405,0.486133 µm.
0.24000000,0.02682727,0.02735128,0.23985492,0.23985489,0.00001405,0.486133 µm.
0.25000000,0.02674129,0.02730996,0.24984888,0.24984884,0.00001524,0.486133 µm.
0.25000000,0.02674129,0.02730996,0.24984888,0.24984884,0.00001524,0.486133 µm.
0.26000000,0.02665179,0.02726695,0.25984284,0.25984279,0.00001649,0.486133 µm.
0.26000000,0.02665179,0.02726695,0.25984284,0.25984279,0.00001649,0.486133 µm.
0.27000000,0.02655878,0.02722226,0.26983680,0.26983675,0.00001778,0.486133 µm.
0.27000000,0.02655878,0.02722226,0.26983680,0.26983675,0.00001778,0.486133 µm.
0.28000000,0.02646227,0.02717588,0.27983076,0.27983070,0.00001912,0.486133 µm.
0.28000000,0.02646227,0.02717588,0.27983076,0.27983070,0.00001912,0.486133 µm.
0.29000000,0.02636223,0.02712781,0.28982471,0.28982466,0.00002051,0.486133 µm.
0.29000000,0.02636223,0.02712781,0.28982471,0.28982466,0.00002051,0.486133 µm.
