Y Angle (deg),Tan Shift,Sag Shift,Real Height,Ref. Height,Distortion,Wavelength
0.00000000,-0.39434628,-0.39434628,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.00000000,-0.39434628,-0.39434628,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.08912291,-0.39433973,-0.39436885,0.21016584,0.21016556,0.00013565,0.486133 µm.
0.08912291,-0.39433973,-0.39436885,0.21016584,0.21016556,0.00013565,0.486133 µm.
0.17824583,-0.39432801,-0.39443656,0.42033167,0.42033213,-0.00010958,0.486133 µm.
0.17824583,-0.39432801,-0.39443656,0.42033167,0.42033213,-0.00010958,0.486133 µm.
0.26736874,-0.39431110,-0.39454937,0.63049748,0.63050074,-0.00051833,0.486133 µm.
0.26736874,-0.39431110,-0.39454937,0.63049748,0.63050074,-0.00051833,0.486133 µm.
0.35649165,-0.39428895,-0.39470726,0.84066324,0.84067241,-0.00109065,0.486133 µm.
0.35649165,-0.39428895,-0.39470726,0.84066324,0.84067241,-0.00109065,0.486133 µm.
0.44561457,-0.39426150,-0.39491018,1.05082894,1.05084814,-0.00182662,0.486133 µm.
0.44561457,-0.39426150,-0.39491018,1.05082894,1.05084814,-0.00182662,0.486133 µm.
0.53473748,-0.39422865,-0.39515806,1.26099457,1.26102895,-0.00272632,0.486133 µm.
0.53473748,-0.39422865,-0.39515806,1.26099457,1.26102895,-0.00272632,0.486133 µm.
0.62386039,-0.39419031,-0.39545083,1.47116011,1.47121587,-0.00378986,0.486133 µm.
0.62386039,-0.39419031,-0.39545083,1.47116011,1.47121587,-0.00378986,0.486133 µm.
0.71298331,-0.39414636,-0.39578841,1.68132554,1.68140991,-0.00501738,0.486133 µm.
0.71298331,-0.39414636,-0.39578841,1.68132554,1.68140991,-0.00501738,0.486133 µm.
0.80210622,-0.39409665,-0.39617068,1.89149085,1.89161208,-0.00640904,0.486133 µm.
0.80210622,-0.39409665,-0.39617068,1.89149085,1.89161208,-0.00640904,0.486133 µm.
0.89122913,-0.39404103,-0.39659753,2.10165600,2.10182341,-0.00796499,0.486133 µm.
0.89122913,-0.39404103,-0.39659753,2.10165600,2.10182341,-0.00796499,0.486133 µm.
0.98035205,-0.39397931,-0.39706882,2.31182099,2.31204492,-0.00968541,0.486133 µm.
0.98035205,-0.39397931,-0.39706882,2.31182099,2.31204492,-0.00968541,0.486133 µm.
1.06947496,-0.39391131,-0.39758441,2.52198577,2.52227761,-0.01157057,0.486133 µm.
1.06947496,-0.39391131,-0.39758441,2.52198577,2.52227761,-0.01157057,0.486133 µm.
1.15859787,-0.39383680,-0.39814415,2.73215033,2.73252252,-0.01362068,0.486133 µm.
1.15859787,-0.39383680,-0.39814415,2.73215033,2.73252252,-0.01362068,0.486133 µm.
1.24772079,-0.39375555,-0.39874785,2.94231463,2.94278065,-0.01583599,0.486133 µm.
1.24772079,-0.39375555,-0.39874785,2.94231463,2.94278065,-0.01583599,0.486133 µm.
1.33684370,-0.39366731,-0.39939534,3.15247865,3.15305303,-0.01821677,0.486133 µm.
1.33684370,-0.39366731,-0.39939534,3.15247865,3.15305303,-0.01821677,0.486133 µm.
1.42596661,-0.39357182,-0.40008640,3.36264234,3.36334068,-0.02076332,0.486133 µm.
1.42596661,-0.39357182,-0.40008640,3.36264234,3.36334068,-0.02076332,0.486133 µm.
1.51508953,-0.39346877,-0.40082083,3.57280567,3.57364461,-0.02347596,0.486133 µm.
1.51508953,-0.39346877,-0.40082083,3.57280567,3.57364461,-0.02347596,0.486133 µm.
1.60421244,-0.39335786,-0.40159839,3.78296859,3.78396585,-0.02635503,0.486133 µm.
1.60421244,-0.39335786,-0.40159839,3.78296859,3.78396585,-0.02635503,0.486133 µm.
1.69333535,-0.39323878,-0.40241885,3.99313106,3.99430542,-0.02940088,0.486133 µm.
1.69333535,-0.39323878,-0.40241885,3.99313106,3.99430542,-0.02940088,0.486133 µm.
1.78245827,-0.39311117,-0.40328193,4.20329302,4.20466433,-0.03261389,0.486133 µm.
1.78245827,-0.39311117,-0.40328193,4.20329302,4.20466433,-0.03261389,0.486133 µm.
1.87158118,-0.39297467,-0.40418739,4.41345443,4.41504360,-0.03599446,0.486133 µm.
1.87158118,-0.39297467,-0.40418739,4.41345443,4.41504360,-0.03599446,0.486133 µm.
1.96070409,-0.39282891,-0.40513492,4.62361523,4.62544427,-0.03954301,0.486133 µm.
1.96070409,-0.39282891,-0.40513492,4.62361523,4.62544427,-0.03954301,0.486133 µm.
2.04982701,-0.39267348,-0.40612423,4.83377534,4.83586734,-0.04325999,0.486133 µm.
2.04982701,-0.39267348,-0.40612423,4.83377534,4.83586734,-0.04325999,0.486133 µm.
2.13894992,-0.39250798,-0.40715501,5.04393471,5.04631384,-0.04714585,0.486133 µm.
2.13894992,-0.39250798,-0.40715501,5.04393471,5.04631384,-0.04714585,0.486133 µm.
