Y Angle (deg),Tan Shift,Sag Shift,Real Height,Ref. Height,Distortion,Wavelength
0.00000000,0.03252980,0.03252980,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.00000000,0.03252980,0.03252980,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.36228793,0.03241343,0.03244045,0.18152521,0.18152600,-0.00043887,0.486133 µm.
0.36228793,0.03241343,0.03244045,0.18152521,0.18152600,-0.00043887,0.486133 µm.
0.72457587,0.03206874,0.03217245,0.36305973,0.36306652,-0.00187129,0.486133 µm.
0.72457587,0.03206874,0.03217245,0.36305973,0.36306652,-0.00187129,0.486133 µm.
1.08686380,0.03149597,0.03172591,0.54461289,0.54463608,-0.00425777,0.486133 µm.
1.08686380,0.03149597,0.03172591,0.54461289,0.54463608,-0.00425777,0.486133 µm.
1.44915173,0.03069548,0.03110101,0.72619403,0.72624920,-0.00759705,0.486133 µm.
1.44915173,0.03069548,0.03110101,0.72619403,0.72624920,-0.00759705,0.486133 µm.
1.81143967,0.02966780,0.03029803,0.90781251,0.90792044,-0.01188735,0.486133 µm.
1.81143967,0.02966780,0.03029803,0.90781251,0.90792044,-0.01188735,0.486133 µm.
2.17372760,0.02841361,0.02931732,1.08947773,1.08966435,-0.01712636,0.486133 µm.
2.17372760,0.02841361,0.02931732,1.08947773,1.08966435,-0.01712636,0.486133 µm.
2.53601554,0.02693372,0.02815929,1.27119913,1.27149553,-0.02331125,0.486133 µm.
2.53601554,0.02693372,0.02815929,1.27119913,1.27149553,-0.02331125,0.486133 µm.
2.89830347,0.02522913,0.02682445,1.45298617,1.45342858,-0.03043867,0.486133 µm.
2.89830347,0.02522913,0.02682445,1.45298617,1.45342858,-0.03043867,0.486133 µm.
3.26059140,0.02330096,0.02531338,1.63484841,1.63547815,-0.03850473,0.486133 µm.
3.26059140,0.02330096,0.02531338,1.63484841,1.63547815,-0.03850473,0.486133 µm.
3.62287934,0.02115049,0.02362675,1.81679545,1.81765893,-0.04750503,0.486133 µm.
3.62287934,0.02115049,0.02362675,1.81679545,1.81765893,-0.04750503,0.486133 µm.
3.98516727,0.01877914,0.02176529,1.99883696,1.99998564,-0.05743459,0.486133 µm.
3.98516727,0.01877914,0.02176529,1.99883696,1.99998564,-0.05743459,0.486133 µm.
4.34745520,0.01618850,0.01972984,2.18098269,2.18247306,-0.06828789,0.486133 µm.
4.34745520,0.01618850,0.01972984,2.18098269,2.18247306,-0.06828789,0.486133 µm.
4.70974314,0.01338032,0.01752130,2.36324251,2.36513601,-0.08005886,0.486133 µm.
4.70974314,0.01338032,0.01752130,2.36324251,2.36513601,-0.08005886,0.486133 µm.
5.07203107,0.01035646,0.01514069,2.54562634,2.54798937,-0.09274083,0.486133 µm.
5.07203107,0.01035646,0.01514069,2.54562634,2.54798937,-0.09274083,0.486133 µm.
5.43431901,0.00711899,0.01258909,2.72814426,2.73104809,-0.10632658,0.486133 µm.
5.43431901,0.00711899,0.01258909,2.72814426,2.73104809,-0.10632658,0.486133 µm.
5.79660694,0.00367008,0.00986769,2.91080643,2.91432718,-0.12080826,0.486133 µm.
5.79660694,0.00367008,0.00986769,2.91080643,2.91432718,-0.12080826,0.486133 µm.
6.15889487,0.00001210,0.00697774,3.09362315,3.09784171,-0.13617743,0.486133 µm.
6.15889487,0.00001210,0.00697774,3.09362315,3.09784171,-0.13617743,0.486133 µm.
6.52118281,-0.00385246,0.00392063,3.27660487,3.28160686,-0.15242501,0.486133 µm.
6.52118281,-0.00385246,0.00392063,3.27660487,3.28160686,-0.15242501,0.486133 µm.
6.88347074,-0.00792094,0.00069783,3.45976216,3.46563784,-0.16954129,0.486133 µm.
6.88347074,-0.00792094,0.00069783,3.45976216,3.46563784,-0.16954129,0.486133 µm.
7.24575867,-0.01219052,-0.00268910,3.64310577,3.64995000,-0.18751589,0.486133 µm.
7.24575867,-0.01219052,-0.00268910,3.64310577,3.64995000,-0.18751589,0.486133 µm.
7.60804661,-0.01665824,-0.00623848,3.82664661,3.83455875,-0.20633775,0.486133 µm.
7.60804661,-0.01665824,-0.00623848,3.82664661,3.83455875,-0.20633775,0.486133 µm.
7.97033454,-0.02132096,-0.00994853,4.01039577,4.01947960,-0.22599514,0.486133 µm.
7.97033454,-0.02132096,-0.00994853,4.01039577,4.01947960,-0.22599514,0.486133 µm.
8.33262247,-0.02617542,-0.01381735,4.19436455,4.20472817,-0.24647557,0.486133 µm.
8.33262247,-0.02617542,-0.01381735,4.19436455,4.20472817,-0.24647557,0.486133 µm.
8.69491041,-0.03121817,-0.01784293,4.37856442,4.39032020,-0.26776583,0.486133 µm.
8.69491041,-0.03121817,-0.01784293,4.37856442,4.39032020,-0.26776583,0.486133 µm.
9.05719834,-0.03644562,-0.02202313,4.56300709,4.57627150,-0.28985193,0.486133 µm.
9.05719834,-0.03644562,-0.02202313,4.56300709,4.57627150,-0.28985193,0.486133 µm.
