Y Height,Tan Shift,Sag Shift,Real Height,Ref. Height,Distortion,Wavelength
7.20000000,0.18639323,0.17855502,7.17049042,7.17034629,0.00201019,0.486133 µm.
7.44000000,0.17363631,0.16503351,7.40951488,7.40935783,0.00211968,0.486133 µm.
7.44000000,0.17363631,0.16503351,7.40951488,7.40935783,0.00211968,0.486133 µm.
7.68000000,0.16050986,0.15108568,7.64853987,7.64836937,0.00222916,0.486133 µm.
7.68000000,0.16050986,0.15108568,7.64853987,7.64836937,0.00222916,0.486133 µm.
7.92000000,0.14701861,0.13671316,7.88756534,7.88738092,0.00233827,0.486133 µm.
7.92000000,0.14701861,0.13671316,7.88756534,7.88738092,0.00233827,0.486133 µm.
8.16000000,0.13316743,0.12191766,8.12659128,8.12639246,0.00244664,0.486133 µm.
8.16000000,0.13316743,0.12191766,8.12659128,8.12639246,0.00244664,0.486133 µm.
8.40000000,0.11896136,0.10670090,8.36561764,8.36540400,0.00255389,0.486133 µm.
8.40000000,0.11896136,0.10670090,8.36561764,8.36540400,0.00255389,0.486133 µm.
8.64000000,0.10440555,0.09106470,8.60464439,8.60441554,0.00265963,0.486133 µm.
8.64000000,0.10440555,0.09106470,8.60464439,8.60441554,0.00265963,0.486133 µm.
8.88000000,0.08950534,0.07501090,8.84367147,8.84342709,0.00276345,0.486133 µm.
8.88000000,0.08950534,0.07501090,8.84367147,8.84342709,0.00276345,0.486133 µm.
9.12000000,0.07426620,0.05854139,9.08269883,9.08243863,0.00286493,0.486133 µm.
9.12000000,0.07426620,0.05854139,9.08269883,9.08243863,0.00286493,0.486133 µm.
9.36000000,0.05869374,0.04165814,9.32172643,9.32145017,0.00296363,0.486133 µm.
9.36000000,0.05869374,0.04165814,9.32172643,9.32145017,0.00296363,0.486133 µm.
9.60000000,0.04279372,0.02436313,9.56075418,9.56046172,0.00305911,0.486133 µm.
9.60000000,0.04279372,0.02436313,9.56075418,9.56046172,0.00305911,0.486133 µm.
9.84000000,0.02657207,0.00665843,9.79978203,9.79947326,0.00315091,0.486133 µm.
9.84000000,0.02657207,0.00665843,9.79978203,9.79947326,0.00315091,0.486133 µm.
10.08000000,0.01003483,-0.01145387,10.03880990,10.03848480,0.00323855,0.486133 µm.
10.08000000,0.01003483,-0.01145387,10.03880990,10.03848480,0.00323855,0.486133 µm.
10.32000000,-0.00681179,-0.02997160,10.27783772,10.27749634,0.00332155,0.486133 µm.
10.32000000,-0.00681179,-0.02997160,10.27783772,10.27749634,0.00332155,0.486133 µm.
10.56000000,-0.02396142,-0.04889257,10.51686539,10.51650789,0.00339941,0.486133 µm.
10.56000000,-0.02396142,-0.04889257,10.51686539,10.51650789,0.00339941,0.486133 µm.
10.80000000,-0.04140758,-0.06821451,10.75589282,10.75551943,0.00347160,0.486133 µm.
10.80000000,-0.04140758,-0.06821451,10.75589282,10.75551943,0.00347160,0.486133 µm.
11.04000000,-0.05914362,-0.08793511,10.99491991,10.99453097,0.00353760,0.486133 µm.
11.04000000,-0.05914362,-0.08793511,10.99491991,10.99453097,0.00353760,0.486133 µm.
11.28000000,-0.07716273,-0.10805202,11.23394657,11.23354252,0.00359686,0.486133 µm.
11.28000000,-0.07716273,-0.10805202,11.23394657,11.23354252,0.00359686,0.486133 µm.
11.52000000,-0.09545800,-0.12856283,11.47297267,11.47255406,0.00364882,0.486133 µm.
11.52000000,-0.09545800,-0.12856283,11.47297267,11.47255406,0.00364882,0.486133 µm.
11.76000000,-0.11402232,-0.14946507,11.71199810,11.71156560,0.00369291,0.486133 µm.
11.76000000,-0.11402232,-0.14946507,11.71199810,11.71156560,0.00369291,0.486133 µm.
12.00000000,-0.13284848,-0.17075624,11.95102273,11.95057714,0.00372853,0.486133 µm.
12.00000000,-0.13284848,-0.17075624,11.95102273,11.95057714,0.00372853,0.486133 µm.
12.24000000,-0.15192911,-0.19243377,12.19004642,12.18958869,0.00375509,0.486133 µm.
12.24000000,-0.15192911,-0.19243377,12.19004642,12.18958869,0.00375509,0.486133 µm.
12.48000000,-0.17125667,-0.21449505,12.42906903,12.42860023,0.00377195,0.486133 µm.
12.48000000,-0.17125667,-0.21449505,12.42906903,12.42860023,0.00377195,0.486133 µm.
12.72000000,-0.19082353,-0.23693740,12.66809042,12.66761177,0.00377849,0.486133 µm.
12.72000000,-0.19082353,-0.23693740,12.66809042,12.66761177,0.00377849,0.486133 µm.
12.96000000,-0.21062186,-0.25975813,12.90711042,12.90662332,0.00377404,0.486133 µm.
12.96000000,-0.21062186,-0.25975813,12.90711042,12.90662332,0.00377404,0.486133 µm.
13.20000000,-0.23064373,-0.28295447,13.14612886,13.14563486,0.00375794,0.486133 µm.
13.20000000,-0.23064373,-0.28295447,13.14612886,13.14563486,0.00375794,0.486133 µm.
13.44000000,-0.25088104,-0.30652359,13.38514558,13.38464640,0.00372950,0.486133 µm.
13.44000000,-0.25088104,-0.30652359,13.38514558,13.38464640,0.00372950,0.486133 µm.
13.68000000,-0.27132556,-0.33046263,13.62416039,13.62365794,0.00368801,0.486133 µm.
13.68000000,-0.27132556,-0.33046263,13.62416039,13.62365794,0.00368801,0.486133 µm.
13.92000000,-0.29196893,-0.35476869,13.86317308,13.86266949,0.00363276,0.486133 µm.
13.92000000,-0.29196893,-0.35476869,13.86317308,13.86266949,0.00363276,0.486133 µm.
14.16000000,-0.31280262,-0.37943878,14.10218347,14.10168103,0.00356299,0.486133 µm.
14.16000000,-0.31280262,-0.37943878,14.10218347,14.10168103,0.00356299,0.486133 µm.
14.40000000,-0.33381799,-0.40446989,14.34119134,14.34069257,0.00347797,0.486133 µm.
14.40000000,-0.33381799,-0.40446989,14.34119134,14.34069257,0.00347797,0.486133 µm.
14.64000000,-0.35500624,-0.42985896,14.58019646,14.57970412,0.00337690,0.486133 µm.
14.64000000,-0.35500624,-0.42985896,14.58019646,14.57970412,0.00337690,0.486133 µm.
14.88000000,-0.37635844,-0.45560286,14.81919860,14.81871566,0.00325900,0.486133 µm.
14.88000000,-0.37635844,-0.45560286,14.81919860,14.81871566,0.00325900,0.486133 µm.
15.12000000,-0.39786552,-0.48169843,15.05819752,15.05772720,0.00312346,0.486133 µm.
15.12000000,-0.39786552,-0.48169843,15.05819752,15.05772720,0.00312346,0.486133 µm.
15.36000000,-0.41951828,-0.50814245,15.29719297,15.29673874,0.00296943,0.486133 µm.
15.36000000,-0.41951828,-0.50814245,15.29719297,15.29673874,0.00296943,0.486133 µm.
15.60000000,-0.44130738,-0.53493165,15.53618468,15.53575029,0.00279606,0.486133 µm.
15.60000000,-0.44130738,-0.53493165,15.53618468,15.53575029,0.00279606,0.486133 µm.
15.84000000,-0.46322332,-0.56206272,15.77517237,15.77476183,0.00260249,0.486133 µm.
15.84000000,-0.46322332,-0.56206272,15.77517237,15.77476183,0.00260249,0.486133 µm.
16.08000000,-0.48525652,-0.58953227,16.01415575,16.01377337,0.00238782,0.486133 µm.
16.08000000,-0.48525652,-0.58953227,16.01415575,16.01377337,0.00238782,0.486133 µm.
